iter	Passed	Remaining
0	3	641
1	6	611
2	9	615
3	12	598
4	15	608
5	18	608
6	21	604
7	24	589
8	27	582
9	30	574
10	33	569
11	35	562
12	38	553
13	41	551
14	44	545
15	46	539
16	49	536
17	53	536
18	56	535
19	59	535
20	62	534
21	70	566
22	74	572
23	79	583
24	83	583
25	88	590
26	91	588
27	95	588
28	100	592
29	103	587
30	107	583
31	109	576
32	113	572
33	117	573
34	120	570
35	124	565
36	127	562
37	130	556
38	133	551
39	136	547
40	141	548
41	144	543
42	147	538
43	150	531
44	152	525
45	155	519
46	157	512
47	160	508
48	163	503
49	166	498
50	169	495
51	171	489
52	174	485
53	177	479
54	180	475
55	183	471
56	186	467
57	189	462
58	191	458
59	194	454
60	197	449
61	200	446
62	203	442
63	205	437
64	208	433
65	211	429
66	214	426
67	217	421
68	219	417
69	222	413
70	225	409
71	228	405
72	230	400
73	233	397
74	236	394
75	239	389
76	241	386
77	244	382
78	247	378
79	249	374
80	252	370
81	255	367
82	258	363
83	261	360
84	264	357
85	267	354
86	270	350
87	272	347
88	275	343
89	278	340
90	280	336
91	283	332
92	286	329
93	288	325
94	291	321
95	293	318
96	296	314
97	298	311
98	301	307
99	304	304
100	306	300
101	309	297
102	312	294
103	315	291
104	318	287
105	320	284
106	323	281
107	326	277
108	329	274
109	331	271
110	334	268
111	337	264
112	339	261
113	342	258
114	345	255
115	348	252
116	351	249
117	353	245
118	356	242
119	358	239
120	362	236
121	364	233
122	367	229
123	369	226
124	372	223
125	375	220
126	378	217
127	380	214
128	383	211
129	386	207
130	389	204
131	391	201
132	394	198
133	397	195
134	400	192
135	403	189
136	405	186
137	408	183
138	412	180
139	414	177
140	417	174
141	420	171
142	423	168
143	426	165
144	430	163
145	433	160
146	436	157
147	439	154
148	442	151
149	444	148
150	447	145
151	450	142
152	453	139
153	456	136
154	459	133
155	462	130
156	465	127
157	467	124
158	470	121
159	473	118
160	476	115
161	478	112
162	481	109
163	484	106
164	486	103
165	489	100
166	492	97
167	495	94
168	498	91
169	501	88
170	504	85
171	507	82
172	510	79
173	512	76
174	515	73
175	519	70
176	522	67
177	525	64
178	528	61
179	531	59
180	533	56
181	536	53
182	539	50
183	541	47
184	544	44
185	547	41
186	550	38
187	552	35
188	555	32
189	558	29
190	560	26
191	563	23
192	566	20
193	569	17
194	572	14
195	574	11
196	577	8
197	580	5
198	583	2
199	586	0
